domain,topic,difficulty,latex,wolfram,english,translated,errors,input_tokens,output_tokens,total_tokens
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int x^{7/3}\ln(x)\,dx$",integrate x^(7/3)*ln(x) dx,"Evaluate using integration by parts: $\int x^{7/3}\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^{7/3}\ln(x)\,dx$",,793,790,1583
calculus,Integration by Parts,hard,"Evaluate (as an improper integral): $\displaystyle \int_{0}^{1} x^{\frac{3}{2}}\ln(x)\,dx$",integrate x^(3/2)*log(x) from 0 to 1,"Evaluate (as an improper integral): $\displaystyle \int_{0}^{1} x^{\frac{3}{2}}\ln(x)\,dx$","Обчисліть (як невласний інтеграл): $\displaystyle \int_{0}^{1} x^{\frac{3}{2}}\ln(x)\,dx$",,839,922,1761
calculus,Integration by Parts,hard,"Evaluate: $\int e^{3x}\sin(5x)\,dx$",integrate e^(3x)*sin(5x) dx,"Evaluate: $\int e^{3x}\sin(5x)\,dx$","Обчисліть: $\int e^{3x}\sin(5x)\,dx$",,803,785,1588
calculus,Integration by Parts,hard,"Evaluate (for $a>0$): $\displaystyle \int_{0}^{\infty} x\,e^{-ax}\cos(bx)\,dx$",integrate x*exp(-a*x)*cos(b*x) from x=0 to infinity (assume a>0),"Evaluate (for $a>0$): $\displaystyle \int_{0}^{\infty} x\,e^{-ax}\cos(bx)\,dx$","Обчисліть (для $a>0$): $\displaystyle \int_{0}^{\infty} x\,e^{-ax}\cos(bx)\,dx$",,826,924,1750
calculus,Volume Calculation,hard,"Compute the volume of revolution about the $y$-axis using the parametric formula $V=\pi\int_a^b (x(t))^2\,y'(t)\,dt$ for $x(t)=t^2-1$ and $y(t)=t-\ln t$ on $t\in[1,e]$ : $V=\pi\int_{1}^{e} (t^2-1)^2\left(1-\frac{1}{t}\right)dt$",compute pi*integral from 1 to e of (t^2 - 1)^2*(1 - 1/t) dt,"Compute the volume of revolution about the $y$-axis using the parametric formula $V=\pi\int_a^b (x(t))^2\,y'(t)\,dt$ for $x(t)=t^2-1$ and $y(t)=t-\ln t$ on $t\in[1,e]$ : $V=\pi\int_{1}^{e} (t^2-1)^2\left(1-\frac{1}{t}\right)dt$","Обчисліть об’єм тіла обертання навколо осі $y$, використовуючи параметричну формулу $V=\pi\int_a^b (x(t))^2\,y'(t)\,dt$ для $x(t)=t^2-1$ та $y(t)=t-\ln t$ на $t\in[1,e]$ : $V=\pi\int_{1}^{e} (t^2-1)^2\left(1-\frac{1}{t}\right)dt$",,914,1221,2135
calculus,Volume Calculation,hard,"Compute the volume using cylindrical shells: $V=2\pi\int_{0}^{\pi} x\,\big(\sin(2x)+\cos(3x)\big)^2\,dx$","2*pi*integrate(x*(sin(2*x)+cos(3*x))^2, x, 0, pi)","Compute the volume using cylindrical shells: $V=2\pi\int_{0}^{\pi} x\,\big(\sin(2x)+\cos(3x)\big)^2\,dx$","Обчисліть об’єм, використовуючи метод циліндричних оболонок: $V=2\pi\int_{0}^{\pi} x\,\big(\sin(2x)+\cos(3x)\big)^2\,dx$",,829,949,1778
calculus,Volume Calculation,hard,"Find the volume of the solid obtained by revolving about the $x$-axis the region under $y=\max\{x+1,\,3-x,\,0\}$ for $0\le x\le 3$ : $V=\pi\int_{0}^{3}\big(\max\{x+1,\,3-x,\,0\}\big)^2\,dx$","volume of revolution about x-axis of y = max(x+1, 3-x, 0) on 0<=x<=3 ; pi*integrate((max(x+1,3-x,0))^2, x=0..3)","Find the volume of the solid obtained by revolving about the $x$-axis the region under $y=\max\{x+1,\,3-x,\,0\}$ for $0\le x\le 3$ : $V=\pi\int_{0}^{3}\big(\max\{x+1,\,3-x,\,0\}\big)^2\,dx$","Знайдіть об’єм тіла, отриманого обертанням навколо осі $x$ області під графіком $y=\max\{x+1,\,3-x,\,0\}$ для $0\le x\le 3$ : $V=\pi\int_{0}^{3}\big(\max\{x+1,\,3-x,\,0\}\big)^2\,dx$",,1780,1504,3284
calculus,Volume Calculation,hard,"Compute the volume of the solid obtained by revolving the region under $y=\ln(1+x^2)$ from $x=1$ to $x=3$ about the $y$-axis (shell method): $V=2\pi\int_{1}^{3} x\,\ln(1+x^2)\,dx$","2*pi*integrate(x*log(1+x^2), x, 1, 3)","Compute the volume of the solid obtained by revolving the region under $y=\ln(1+x^2)$ from $x=1$ to $x=3$ about the $y$-axis (shell method): $V=2\pi\int_{1}^{3} x\,\ln(1+x^2)\,dx$","Обчисліть об’єм тіла, отриманого обертанням області під графіком $y=\ln(1+x^2)$ від $x=1$ до $x=3$ навколо осі $y$ (метод циліндричних оболонок): $V=2\pi\int_{1}^{3} x\,\ln(1+x^2)\,dx$",Equation may contain an answer/solution.,1723,1538,3261
calculus,Volume Calculation,hard,"Compute the volume using the shell method about the $y$-axis: $V=2\pi\int_{0}^{2} x\,e^{-x^{2}}\,dx$",compute volume 2*pi*integrate x*exp(-x^2) from x=0 to 2,"Compute the volume using the shell method about the $y$-axis: $V=2\pi\int_{0}^{2} x\,e^{-x^{2}}\,dx$","Обчисліть об’єм за допомогою методу циліндричних оболонок відносно осі $y$: $V=2\pi\int_{0}^{2} x\,e^{-x^{2}}\,dx$",,1667,1369,3036
calculus,Volume Calculation,hard,Compute the volume of the solid formed by revolving the region bounded by $y=\ln x+\frac{1}{x}$ and $y=\frac{1}{x}$ for $1\le x\le e$ about the horizontal line $y=2$ : $V=\pi\int_{1}^{e}\left[\left((\ln x+\tfrac{1}{x})-2\right)^2-\left((\tfrac{1}{x})-2\right)^2\right]dx$,"pi*integrate(((log(x)+1/x-2)^2 - (1/x-2)^2), {x, 1, e})",Compute the volume of the solid formed by revolving the region bounded by $y=\ln x+\frac{1}{x}$ and $y=\frac{1}{x}$ for $1\le x\le e$ about the horizontal line $y=2$ : $V=\pi\int_{1}^{e}\left[\left((\ln x+\tfrac{1}{x})-2\right)^2-\left((\tfrac{1}{x})-2\right)^2\right]dx$,"Обчисліть об’єм тіла, утвореного обертанням області, обмеженої $y=\ln x+\frac{1}{x}$ та $y=\frac{1}{x}$ для $1\le x\le e$, навколо горизонтальної прямої $y=2$ : $V=\pi\int_{1}^{e}\left[\left((\ln x+\tfrac{1}{x})-2\right)^2-\left((\tfrac{1}{x})-2\right)^2\right]dx$",Equation may contain an answer/solution.,1776,1597,3373
calculus,Volume Calculation,hard,"Compute the volume of the solid with cross-sections perpendicular to the $x$-axis that are equilateral triangles with side length $s(x)=\sqrt{1+x^4}$ for $0\le x\le 1$ : $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,s(x)^2\,dx$",integrate (sqrt(3)/4)*(sqrt(1+x^4))^2 from x=0 to 1,"Compute the volume of the solid with cross-sections perpendicular to the $x$-axis that are equilateral triangles with side length $s(x)=\sqrt{1+x^4}$ for $0\le x\le 1$ : $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,s(x)^2\,dx$","Обчисліть об’єм тіла, поперечні перерізи якого, перпендикулярні до осі $x$, є рівносторонніми трикутниками зі стороною довжини $s(x)=\sqrt{1+x^4}$ для $0\le x\le 1$ : $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,s(x)^2\,dx$",,886,1231,2117
calculus,Volume Calculation,hard,"Evaluate the volume of the solid obtained by revolving $y=e^{-x^2}$ about the $x$-axis on $[0,a]$ (washer method): $V(a)=\pi\int_{0}^{a} e^{-2x^{2}}\,dx$","pi*integrate(exp(-2*x^2), x, 0, a)","Evaluate the volume of the solid obtained by revolving $y=e^{-x^2}$ about the $x$-axis on $[0,a]$ (washer method): $V(a)=\pi\int_{0}^{a} e^{-2x^{2}}\,dx$","Обчисліть об’єм тіла, отриманого обертанням $y=e^{-x^2}$ навколо осі $x$ на відрізку $[0,a]$ (метод шайб): $V(a)=\pi\int_{0}^{a} e^{-2x^{2}}\,dx$",,844,1013,1857
calculus,Volume Calculation,hard,"Compute the volume obtained by revolving about the $y$-axis the region bounded by $x^2+y^2=16$ and $y=x+2$ : $V=\pi\int_{y_1}^{y_2}\big(x_{\text{outer}}(y)^2-x_{\text{inner}}(y)^2\big)\,dy$",volume of revolution about y-axis of region bounded by x^2 + y^2 = 16 and y = x + 2,"Compute the volume obtained by revolving about the $y$-axis the region bounded by $x^2+y^2=16$ and $y=x+2$ : $V=\pi\int_{y_1}^{y_2}\big(x_{\text{outer}}(y)^2-x_{\text{inner}}(y)^2\big)\,dy$","Обчисліть об’єм, отриманий при обертанні навколо осі $y$ області, обмеженої $x^2+y^2=16$ та $y=x+2$ : $V=\pi\int_{y_1}^{y_2}\big(x_{\text{outer}}(y)^2-x_{\text{inner}}(y)^2\big)\,dy$",Equation may contain an answer/solution.,1819,1504,3323
calculus,Volume Calculation,hard,"Evaluate the volume of the solid with base bounded by $y=\sqrt{x}$ and $y=\frac{x}{2}$ on $[0,4]$, where cross-sections perpendicular to the $x$-axis are equilateral triangles: $V=\int_{0}^{4}\frac{\sqrt{3}}{4}\left(\sqrt{x}-\frac{x}{2}\right)^{2}\,dx$",integrate (sqrt(3)/4)*(sqrt(x)-x/2)^2 from x=0 to 4,"Evaluate the volume of the solid with base bounded by $y=\sqrt{x}$ and $y=\frac{x}{2}$ on $[0,4]$, where cross-sections perpendicular to the $x$-axis are equilateral triangles: $V=\int_{0}^{4}\frac{\sqrt{3}}{4}\left(\sqrt{x}-\frac{x}{2}\right)^{2}\,dx$","Обчисліть об’єм тіла, основа якого обмежена кривими $y=\sqrt{x}$ та $y=\frac{x}{2}$ на відрізку $[0,4]$, де поперечні перерізи, перпендикулярні до осі $x$, є рівносторонніми трикутниками: $V=\int_{0}^{4}\frac{\sqrt{3}}{4}\left(\sqrt{x}-\frac{x}{2}\right)^{2}\,dx$",,887,1193,2080
calculus,Volume Calculation,hard,"Compute the volume of the solid obtained by revolving the region enclosed by $r=2+\cos(3\theta)$ about the line $\theta=\tfrac{\pi}{2}$: $V=\iint_{\text{region}} 2\pi\,d\,dA$ with $d=|x|$ (distance to the axis).",volume of solid formed by revolving the polar region r = 2 + cos(3 theta) about the line theta = pi/2,"Compute the volume of the solid obtained by revolving the region enclosed by $r=2+\cos(3\theta)$ about the line $\theta=\tfrac{\pi}{2}$: $V=\iint_{\text{region}} 2\pi\,d\,dA$ with $d=|x|$ (distance to the axis).","Обчисліть об’єм тіла, отриманого обертанням області, обмеженої кривою $r=2+\cos(3\theta)$, навколо прямої $\theta=\tfrac{\pi}{2}$: $V=\iint_{\text{region}} 2\pi\,d\,dA$ з $d=|x|$ (відстань до осі).",,1302,1133,2435
calculus,Volume Calculation,hard,"Compute the volume between the surfaces: $V=\iint_{\frac{x^2}{4}+\frac{y^2}{9}\le 1}\left(5-\frac{x^2}{4}-\frac{y^2}{9}\right)\,dA$",integrate 5 - x^2/4 - y^2/9 over region x^2/4 + y^2/9 <= 1 with respect to x and y,"Compute the volume between the surfaces: $V=\iint_{\frac{x^2}{4}+\frac{y^2}{9}\le 1}\left(5-\frac{x^2}{4}-\frac{y^2}{9}\right)\,dA$","Обчисліть об’єм між поверхнями: $V=\iint_{\frac{x^2}{4}+\frac{y^2}{9}\le 1}\left(5-\frac{x^2}{4}-\frac{y^2}{9}\right)\,dA$",,863,1054,1917
calculus,Volume Calculation,hard,"Compute the volume of the solid formed by revolving the region bounded by $x=\arcsin(y)$, $x=\tfrac{\pi}{2}$, $y=0$, and $y=\tfrac{\sqrt{3}}{2}$ about the horizontal axis $y=-1$ using washers (integrate with respect to $y$): $V=\pi\int_{0}^{\sqrt{3}/2}\big(R(y)^2-r(y)^2\big)\,dy$","volume of revolution about y=-1 of region bounded by x=arcsin(y), x=pi/2, y=0, y=sqrt(3)/2 using washers dy","Compute the volume of the solid formed by revolving the region bounded by $x=\arcsin(y)$, $x=\tfrac{\pi}{2}$, $y=0$, and $y=\tfrac{\sqrt{3}}{2}$ about the horizontal axis $y=-1$ using washers (integrate with respect to $y$): $V=\pi\int_{0}^{\sqrt{3}/2}\big(R(y)^2-r(y)^2\big)\,dy$","Обчисліть об’єм тіла, утвореного обертанням області, обмеженої $x=\arcsin(y)$, $x=\tfrac{\pi}{2}$, $y=0$ та $y=\tfrac{\sqrt{3}}{2}$, навколо горизонтальної осі $y=-1$, використовуючи метод шайб (інтегрувати за $y$): $V=\pi\int_{0}^{\sqrt{3}/2}\big(R(y)^2-r(y)^2\big)\,dy$",Equation may contain an answer/solution.,1783,1550,3333
calculus,Volume Calculation,hard,"Evaluate the volume using the shell method: $V=2\pi\int_{1}^{2} x\left(\ln(2x+1)-\ln(x+3)\right)\,dx$","2*pi*integrate(x*(log(2*x+1)-log(x+3)), x, 1, 2)","Evaluate the volume using the shell method: $V=2\pi\int_{1}^{2} x\left(\ln(2x+1)-\ln(x+3)\right)\,dx$","Обчисліть об’єм, використовуючи метод циліндричних оболонок: $V=2\pi\int_{1}^{2} x\left(\ln(2x+1)-\ln(x+3)\right)\,dx$",,828,1147,1975
calculus,Volume Calculation,hard,"Evaluate the volume using the washer method: $V=\pi\int_{0}^{\pi/4}\left(\sec^{4}x-\tan^{2}x\right)\,dx$","pi*integrate((sec(x)^4 - tan(x)^2), x, 0, pi/4)","Evaluate the volume using the washer method: $V=\pi\int_{0}^{\pi/4}\left(\sec^{4}x-\tan^{2}x\right)\,dx$","Обчисліть об’єм, використовуючи метод шайб: $V=\pi\int_{0}^{\pi/4}\left(\sec^{4}x-\tan^{2}x\right)\,dx$",,825,994,1819
calculus,Volume Calculation,hard,"Find the volume of the solid with cross-sections perpendicular to the $x$-axis having area $A(x)=\left(\sqrt{2x+3}-\frac{1}{\sqrt{2x+3}}\right)^2$ for $0\le x\le 3$ : $V=\int_{0}^{3}A(x)\,dx$",integrate (sqrt(2*x+3) - 1/sqrt(2*x+3))^2 from x=0 to 3,"Find the volume of the solid with cross-sections perpendicular to the $x$-axis having area $A(x)=\left(\sqrt{2x+3}-\frac{1}{\sqrt{2x+3}}\right)^2$ for $0\le x\le 3$ : $V=\int_{0}^{3}A(x)\,dx$","Знайдіть об’єм тіла, поперечні перерізи якого, перпендикулярні до осі $x$, мають площу $A(x)=\left(\sqrt{2x+3}-\frac{1}{\sqrt{2x+3}}\right)^2$ для $0\le x\le 3$ : $V=\int_{0}^{3}A(x)\,dx$",,888,1154,2042
calculus,Volume Calculation,hard,"Find the volume of the solid formed by rotating the region bounded by $x=y^3-y$ and $x=0$ about the $x$-axis: $V=\pi\int_{-1}^{1}(y^3-y)^2\,dy$","pi*integrate((y^3 - y)^2, y, -1, 1)","Find the volume of the solid formed by rotating the region bounded by $x=y^3-y$ and $x=0$ about the $x$-axis: $V=\pi\int_{-1}^{1}(y^3-y)^2\,dy$","Знайдіть об’єм тіла, утвореного обертанням області, обмеженої $x=y^3-y$ та $x=0$, навколо осі $x$: $V=\pi\int_{-1}^{1}(y^3-y)^2\,dy$",Equation may contain an answer/solution.,1716,1346,3062
calculus,Volume Calculation,hard,"Compute the volume (cylindrical shells, horizontal axis) of the solid obtained by rotating the region bounded by $y=\sin x$, $y=\tfrac12$, and $0\le x\le \tfrac{\pi}{2}$ about the line $y=-1$ : $V=2\pi\int_{1/2}^{1}\big((y+1)\big)\big(\arcsin(y)-\arcsin(1/2)\big)\,dy$","volume 2*pi*integrate((y+1)*(asin(y)-asin(1/2)), y=1/2..1)","Compute the volume (cylindrical shells, horizontal axis) of the solid obtained by rotating the region bounded by $y=\sin x$, $y=\tfrac12$, and $0\le x\le \tfrac{\pi}{2}$ about the line $y=-1$ : $V=2\pi\int_{1/2}^{1}\big((y+1)\big)\big(\arcsin(y)-\arcsin(1/2)\big)\,dy$","Обчисліть об’єм (метод циліндричних оболонок, горизонтальна вісь) тіла, отриманого обертанням області, обмеженої $y=\sin x$, $y=\tfrac12$ та $0\le x\le \tfrac{\pi}{2}$, навколо прямої $y=-1$ : $V=2\pi\int_{1/2}^{1}\big((y+1)\big)\big(\arcsin(y)-\arcsin(1/2)\big)\,dy$",Equation may contain an answer/solution.,1772,1533,3305
calculus,Volume Calculation,hard,"Compute the volume (washer method, integrate w.r.t. $y$) when the region bounded by $y=e^x$, $y=e^{-x}$, and $y=e^2$ is revolved about the $y$-axis: $V=\pi\int_{1}^{e^{2}}\big([f^{-1}(y)]^{2}-[g^{-1}(y)]^{2}\big)\,dy$","volume of solid formed by revolving about y-axis the region bounded by y=exp(x), y=exp(-x), and y=exp(2) using washers integrating with respect to y","Compute the volume (washer method, integrate w.r.t. $y$) when the region bounded by $y=e^x$, $y=e^{-x}$, and $y=e^2$ is revolved about the $y$-axis: $V=\pi\int_{1}^{e^{2}}\big([f^{-1}(y)]^{2}-[g^{-1}(y)]^{2}\big)\,dy$","Обчисліть об’єм (метод шайб, інтегрування за $y$), коли область, обмежена $y=e^x$, $y=e^{-x}$ та $y=e^2$, обертається навколо осі $y$: $V=\pi\int_{1}^{e^{2}}\big([f^{-1}(y)]^{2}-[g^{-1}(y)]^{2}\big)\,dy$",,895,1202,2097
calculus,Volume Calculation,hard,"Evaluate the volume of the solid with base bounded by $y=e^x$ and $y=e^{-x}$ for $0\le x\le 1$, where cross-sections perpendicular to the $x$-axis are semicircles: $V=\int_{0}^{1}\frac{\pi}{8}\left(e^x-e^{-x}\right)^2\,dx$",integrate (pi/8)*(exp(x)-exp(-x))^2 from x=0 to 1,"Evaluate the volume of the solid with base bounded by $y=e^x$ and $y=e^{-x}$ for $0\le x\le 1$, where cross-sections perpendicular to the $x$-axis are semicircles: $V=\int_{0}^{1}\frac{\pi}{8}\left(e^x-e^{-x}\right)^2\,dx$","Обчисліть об’єм тіла, основа якого обмежена графіками $y=e^x$ та $y=e^{-x}$ для $0\le x\le 1$, де перерізи, перпендикулярні до осі $x$, є півколами: $V=\int_{0}^{1}\frac{\pi}{8}\left(e^x-e^{-x}\right)^2\,dx$",,889,1150,2039
calculus,Volume Calculation,hard,"Find the volume of the solid with base bounded by $y=0$ and $y=\frac{2x+1}{x^2+1}$ for $0\le x\le 2$, where cross-sections perpendicular to the $x$-axis are semicircles with diameter $d(x)=\frac{2x+1}{x^2+1}$: $V=\int_0^2 \frac{\pi}{8}\left(\frac{2x+1}{x^2+1}\right)^2\,dx$",integrate (pi/8)*((2*x+1)/(x^2+1))^2 from x=0 to 2,"Find the volume of the solid with base bounded by $y=0$ and $y=\frac{2x+1}{x^2+1}$ for $0\le x\le 2$, where cross-sections perpendicular to the $x$-axis are semicircles with diameter $d(x)=\frac{2x+1}{x^2+1}$: $V=\int_0^2 \frac{\pi}{8}\left(\frac{2x+1}{x^2+1}\right)^2\,dx$","Знайдіть об’єм тіла, основа якого обмежена $y=0$ та $y=\frac{2x+1}{x^2+1}$ для $0\le x\le 2$, де поперечні перерізи, перпендикулярні до осі $x$, є півколами з діаметром $d(x)=\frac{2x+1}{x^2+1}$: $V=\int_0^2 \frac{\pi}{8}\left(\frac{2x+1}{x^2+1}\right)^2\,dx$",Equation may contain an answer/solution.,1747,1492,3239
calculus,Volume Calculation,hard,"Compute the volume using the shell method about the $y$-axis: $V=2\pi\int_{1}^{3} x\,\ln(2x-1)\,dx$","2*pi*integrate(x*ln(2*x-1), x, 1, 3)","Compute the volume using the shell method about the $y$-axis: $V=2\pi\int_{1}^{3} x\,\ln(2x-1)\,dx$","Обчисліть об’єм за допомогою методу циліндричних оболонок відносно осі $y$: $V=2\pi\int_{1}^{3} x\,\ln(2x-1)\,dx$",,824,1040,1864
calculus,Volume Calculation,hard,"Evaluate the volume $V=\iiint_E r\,dz\,dr\,d\theta$ in cylindrical coordinates where $E=\{(r,\theta,z):\ 0\le \theta\le \pi/2,\ 0\le r\le \min(2\cos\theta,\,2\sin\theta),\ r^2\le z\le 2-r\}$","integrate r, {theta, 0, pi/2}, {r, 0, Min(2 cos(theta), 2 sin(theta))}, {z, r^2, 2 - r}","Evaluate the volume $V=\iiint_E r\,dz\,dr\,d\theta$ in cylindrical coordinates where $E=\{(r,\theta,z):\ 0\le \theta\le \pi/2,\ 0\le r\le \min(2\cos\theta,\,2\sin\theta),\ r^2\le z\le 2-r\}$","Обчисліть об’єм $V=\iiint_E r\,dz\,dr\,d\theta$ у циліндричних координатах, де $E=\{(r,\theta,z):\ 0\le \theta\le \pi/2,\ 0\le r\le \min(2\cos\theta,\,2\sin\theta),\ r^2\le z\le 2-r\}$",,879,1100,1979
calculus,Volume Calculation,hard,"Find the volume of the solid with cross-sections perpendicular to the $x$-axis being semicircles whose diameter is the vertical distance between $y=\sqrt{x}$ and $y=x^2$ : $V=\int_{?}^{?} \frac{\pi}{8}\big(\sqrt{x}-x^2\big)^2\,dx$",volume integral (pi/8)*(sqrt(x)-x^2)^2 dx from x=0 to x=1,"Find the volume of the solid with cross-sections perpendicular to the $x$-axis being semicircles whose diameter is the vertical distance between $y=\sqrt{x}$ and $y=x^2$ : $V=\int_{?}^{?} \frac{\pi}{8}\big(\sqrt{x}-x^2\big)^2\,dx$","Знайдіть об’єм тіла, поперечні перерізи якого, перпендикулярні до осі $x$, є півколами, діаметр яких дорівнює вертикальній відстані між $y=\sqrt{x}$ та $y=x^2$ : $V=\int_{?}^{?} \frac{\pi}{8}\big(\sqrt{x}-x^2\big)^2\,dx$",,870,1121,1991
calculus,Volume Calculation,hard,"Compute the volume of the solid obtained by rotating about the $y$-axis the region bounded by $y=x^2+1$ and $y=3x+1$ : $V=\pi\int_{1}^{10}\Big(\big(\tfrac{y-1}{3}\big)^2-\big(\sqrt{y-1}\big)^2\Big)\,dy$","pi*integrate(((y-1)/3)^2-(sqrt(y-1))^2, {y,1,10})","Compute the volume of the solid obtained by rotating about the $y$-axis the region bounded by $y=x^2+1$ and $y=3x+1$ : $V=\pi\int_{1}^{10}\Big(\big(\tfrac{y-1}{3}\big)^2-\big(\sqrt{y-1}\big)^2\Big)\,dy$","Обчисліть об’єм тіла, отриманого обертанням навколо осі $y$ області, обмеженої кривими $y=x^2+1$ та $y=3x+1$ : $V=\pi\int_{1}^{10}\Big(\big(\tfrac{y-1}{3}\big)^2-\big(\sqrt{y-1}\big)^2\Big)\,dy$",,907,1259,2166
calculus,Volume Calculation,hard,"Compute the volume of the solid obtained by revolving the region under $y=\ln(1+x^2)$ from $x=1$ to $x=3$ about the $y$-axis (shell method): $V=2\pi\int_{1}^{3} x\ln(1+x^2)\,dx$","2*pi*integrate(x*ln(1+x^2), x, 1, 3)","Compute the volume of the solid obtained by revolving the region under $y=\ln(1+x^2)$ from $x=1$ to $x=3$ about the $y$-axis (shell method): $V=2\pi\int_{1}^{3} x\ln(1+x^2)\,dx$","Обчисліть об’єм тіла, отриманого обертанням області під графіком $y=\ln(1+x^2)$ від $x=1$ до $x=3$ навколо осі $y$ (метод циліндричних оболонок): $V=2\pi\int_{1}^{3} x\ln(1+x^2)\,dx$",Equation may contain an answer/solution.,1686,1315,3001
calculus,Volume Calculation,hard,"Compute the volume using the washer method: $V=\pi\int_{0}^{\pi/2}\left((\sin^{7}x)^2-(\cos^{5}x)^2\right)\,dx$","pi*integrate((sin(x)^7)^2 - (cos(x)^5)^2, x, 0, pi/2)","Compute the volume using the washer method: $V=\pi\int_{0}^{\pi/2}\left((\sin^{7}x)^2-(\cos^{5}x)^2\right)\,dx$","Обчисліть об’єм, використовуючи метод шайб: $V=\pi\int_{0}^{\pi/2}\left((\sin^{7}x)^2-(\cos^{5}x)^2\right)\,dx$",,837,1103,1940
calculus,Volume Calculation,hard,"Compute the volume of the solid obtained by revolving about the $x$-axis: $V=\pi\int_{0}^{2}\left(\sqrt{\frac{x(2-x)}{1+x^2}}\right)^2\,dx$","pi*integrate((sqrt((x*(2-x))/(1+x^2)))^2, x, 0, 2)","Compute the volume of the solid obtained by revolving about the $x$-axis: $V=\pi\int_{0}^{2}\left(\sqrt{\frac{x(2-x)}{1+x^2}}\right)^2\,dx$","Обчисліть об’єм тіла, отриманого обертанням навколо осі $x$: $V=\pi\int_{0}^{2}\left(\sqrt{\frac{x(2-x)}{1+x^2}}\right)^2\,dx$",,843,1019,1862
calculus,Volume Calculation,hard,"Compute the volume of the solid of revolution about the $x$-axis: $V=\pi\int_{0}^{1}\big(\ln(1+x^{3})\big)^{2}\,dx$","pi*integrate((ln(1+x^3))^2, x, 0, 1)","Compute the volume of the solid of revolution about the $x$-axis: $V=\pi\int_{0}^{1}\big(\ln(1+x^{3})\big)^{2}\,dx$","Обчисліть об’єм тіла обертання навколо осі $x$: $V=\pi\int_{0}^{1}\big(\ln(1+x^{3})\big)^{2}\,dx$",,1271,1175,2446
calculus,Volume Calculation,hard,"Evaluate the volume using cross-sections perpendicular to the $y$-axis: $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,(e^{y}-y)^{2}\,dy$",integrate (sqrt(3)/4)*(exp(y)-y)^2 from y=0 to 1,"Evaluate the volume using cross-sections perpendicular to the $y$-axis: $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,(e^{y}-y)^{2}\,dy$","Обчисліть об’єм, використовуючи поперечні перерізи, перпендикулярні до осі $y$: $V=\int_{0}^{1}\frac{\sqrt{3}}{4}\,(e^{y}-y)^{2}\,dy$",,863,1095,1958
calculus,Integration with Substitution,hard,"Evaluate using substitution: $\int (2x-1)e^{x^2-x}\,dx$",integrate (2x-1)*exp(x^2-x) dx,"Evaluate using substitution: $\int (2x-1)e^{x^2-x}\,dx$","Обчисліть, використовуючи підстановку: $\int (2x-1)e^{x^2-x}\,dx$",,800,890,1690
calculus,Integration with Substitution,hard,"Evaluate using substitution: $\int \frac{14x-3}{\sqrt{7x^2-3x+5}}\,dx$",integrate (14x-3)/sqrt(7x^2-3x+5) dx,"Evaluate using substitution: $\int \frac{14x-3}{\sqrt{7x^2-3x+5}}\,dx$","Обчисліть, використовуючи підстановку: $\int \frac{14x-3}{\sqrt{7x^2-3x+5}}\,dx$",,817,890,1707
calculus,Integration with Substitution,hard,"Evaluate the definite integral (for $p>0$): $\int_{0}^{1} \frac{x^{p}}{1+x^{p+1}}\,dx$",integrate x^p/(1+x^(p+1)) from x=0 to 1 assuming p>0,"Evaluate the definite integral (for $p>0$): $\int_{0}^{1} \frac{x^{p}}{1+x^{p+1}}\,dx$","Обчисліть визначений інтеграл (для $p>0$): $\int_{0}^{1} \frac{x^{p}}{1+x^{p+1}}\,dx$",,833,968,1801
calculus,Integration with Substitution,hard,"Evaluate using substitution: $\int \sin^7(5x-2)\,\cos^3(5x-2)\,dx$",integrate sin^7(5x-2)*cos^3(5x-2) dx,"Evaluate using substitution: $\int \sin^7(5x-2)\,\cos^3(5x-2)\,dx$","Обчисліть, використовуючи підстановку: $\int \sin^7(5x-2)\,\cos^3(5x-2)\,dx$",,828,909,1737
calculus,Integration with Substitution,hard,"Evaluate using substitution: $\int \frac{x}{\sqrt{1+\sqrt{1+x^2}}}\,dx$",integrate x/sqrt(1+sqrt(1+x^2)) dx,"Evaluate using substitution: $\int \frac{x}{\sqrt{1+\sqrt{1+x^2}}}\,dx$","Обчисліть, використовуючи підстановку: $\int \frac{x}{\sqrt{1+\sqrt{1+x^2}}}\,dx$",,825,998,1823
calculus,Integration with Substitution,hard,"Evaluate using substitution after algebraic rearrangement: $\int \frac{x^2+1}{x^3+3x+1}\,dx$",integrate (x^2+1)/(x^3+3x+1) dx,"Evaluate using substitution after algebraic rearrangement: $\int \frac{x^2+1}{x^3+3x+1}\,dx$","Обчисліть, використовуючи підстановку після алгебраїчного перетворення: $\int \frac{x^2+1}{x^3+3x+1}\,dx$",,837,946,1783
